dense_units,learning_rate,dropout_rate,activation,use_batch_norm,optimizer,regularization_type,l1_reg,l2_reg,batch_size,epochs,l1_ratio,Trial ID,Final Validation Loss
8,0.0001,0.30000000000000004,tanh,False,rmsprop,elasticnet,2.495292541104896e-05,1.9574723271564337e-05,128,50,0.7000000000000001,44,\textbf{0.11579283177852631}
32,0.0001,0.2,relu,True,rmsprop,l2,3.0236256108483392e-05,5.272011925092078e-05,64,50,0.5,14,\textbf{0.11568246334791184}
24,0.01,0.2,relu,True,rmsprop,l1,3.41317008624661e-05,6.796767281781601e-05,64,50,0.5,16,\textbf{0.1130598247051239}
16,0.001,0.2,relu,False,sgd,elasticnet,1.930834432619833e-05,4.6143082283313384e-05,128,30,0.0,17,\textbf{0.11688867360353469}
16,0.0001,0.2,tanh,False,sgd,l1,4.535112838518064e-05,4.053583198174984e-05,32,30,0.4,35,\textbf{0.12194083631038666}
24,0.001,0.0,relu,False,adam,l1,1.1543986854010925e-05,2.239866826272213e-05,16,40,0.0,07,\textbf{0.11304468512535096}
32,0.001,0.30000000000000004,relu,True,adam,l1,6.414649888329168e-05,4.392714568148902e-05,16,30,,01,\textbf{0.11305004954338074}
24,0.001,0.30000000000000004,tanh,True,adam,l2,7.325401901037484e-05,1.9031887956505194e-05,32,30,0.6000000000000001,39,\textbf{0.11305370330810546}
24,0.0001,0.2,tanh,False,adam,l2,1.909361571168447e-05,1.9062805639246814e-05,16,15,0.5,42,\textbf{0.11372310817241668}
32,0.01,0.2,relu,True,rmsprop,l2,6.128379729952538e-05,1.8150350697627047e-05,64,15,0.7000000000000001,34,\textbf{0.11328455060720444}
24,0.001,0.30000000000000004,selu,True,sgd,l2,1.3791767316773848e-05,1.5782320900138702e-05,64,15,0.9,12,\textbf{0.11764341294765472}
32,0.001,0.1,relu,False,rmsprop,l1,1.483166815440003e-05,1.187393107123155e-05,32,40,0.30000000000000004,38,\textbf{0.11421809494495391}
8,0.001,0.4,tanh,True,adam,l2,9.317705027106565e-05,2.8550538729090275e-05,16,30,0.7000000000000001,21,\textbf{0.11304395496845246}
8,0.001,0.0,relu,True,sgd,elasticnet,1.6349595736158743e-05,5.5694583083978045e-05,64,15,0.0,33,\textbf{0.11684214174747468}
8,0.001,0.2,selu,False,sgd,l2,3.588020945542207e-05,1.5946949841404117e-05,128,30,0.1,15,\textbf{0.12073229402303695}
24,0.01,0.1,relu,False,sgd,l2,1.0783835379059664e-05,3.055503740536173e-05,128,15,0.7000000000000001,08,\textbf{0.12046387642621995}
8,0.0001,0.4,tanh,True,adam,l2,5.285286334914404e-05,8.962069766181623e-05,32,50,0.0,31,\textbf{0.11355722695589066}
8,0.0001,0.0,selu,True,adam,l2,1.9021429597547853e-05,2.670988705751105e-05,32,50,0.7000000000000001,37,\textbf{0.11357908993959427}
32,0.001,0.0,tanh,False,sgd,elasticnet,1.776387368285758e-05,1.9684331923643376e-05,128,30,0.0,22,\textbf{0.11722895801067353}
8,0.01,0.2,relu,True,rmsprop,l1,1.163587800864958e-05,1.2857149704682208e-05,32,30,0.9,36,\textbf{0.11304598450660705}
24,0.001,0.0,selu,True,adam,l1,4.773906519866916e-05,1.2110389487154738e-05,32,15,0.4,48,\textbf{0.11324642151594162}
24,0.0001,0.30000000000000004,selu,True,rmsprop,elasticnet,2.0349417482531968e-05,1.4097622569660698e-05,16,40,0.0,06,\textbf{0.11448118984699249}
32,0.0001,0.1,tanh,True,rmsprop,l2,1.0816096043861342e-05,2.2264494184513744e-05,64,30,0.30000000000000004,05,\textbf{0.11601927578449249}
32,0.001,0.2,tanh,False,rmsprop,l2,6.846881757825893e-05,1.5796398035122707e-05,32,15,0.4,46,\textbf{0.11358197629451752}
24,0.001,0.30000000000000004,relu,False,adam,elasticnet,4.146006099198277e-05,1.744967096084219e-05,128,15,0.5,04,\textbf{0.11390602588653564}
8,0.001,0.30000000000000004,tanh,False,adam,elasticnet,3.5641116673163474e-05,3.3455929805531916e-05,32,50,0.1,28,\textbf{0.11304565370082856}
24,0.0001,0.1,selu,False,rmsprop,elasticnet,2.3847705460531355e-05,3.962501750759515e-05,128,50,0.9,27,\textbf{0.11790187507867814}
32,0.0001,0.1,tanh,False,sgd,l2,3.127365907468583e-05,1e-05,16,15,,00,\textbf{0.1171555370092392}
8,0.0001,0.4,relu,True,rmsprop,l2,1.2667906599610054e-05,1.328483856200383e-05,32,30,0.6000000000000001,41,\textbf{0.11379851698875428}
8,0.001,0.4,selu,False,sgd,l1,3.040102153629443e-05,1.9520295378549144e-05,128,40,0.30000000000000004,40,\textbf{0.11848919838666916}
32,0.0001,0.1,relu,True,sgd,l1,6.0249844935255746e-05,3.0371647546423754e-05,128,50,0.5,18,\textbf{0.12843742370605468}
24,0.01,0.30000000000000004,selu,True,adam,l1,1.8595560365987967e-05,1.4076507593611624e-05,32,40,0.5,09,\textbf{0.11306459903717041}
16,0.0001,0.4,tanh,True,rmsprop,elasticnet,8.176015327494875e-05,2.4478615529969573e-05,16,50,0.5,03,\textbf{0.11586903184652328}
24,0.01,0.0,relu,True,rmsprop,elasticnet,1.997267665000022e-05,5.9983362284933984e-05,16,15,0.30000000000000004,23,\textbf{0.11304179280996322}
24,0.001,0.0,tanh,True,adam,l2,3.658974889132628e-05,4.516324314394117e-05,64,50,0.9,26,\textbf{0.11304858028888702}
24,0.0001,0.2,selu,True,adam,l2,7.754645432894952e-05,5.3868102009010044e-05,32,40,0.2,10,\textbf{0.11798787415027619}
24,0.0001,0.2,relu,False,adam,l1,6.2064010899357e-05,9.540643493206451e-05,32,30,0.8,13,\textbf{0.11667003333568574}
32,0.0001,0.1,relu,False,adam,l1,9.820524863731466e-05,2.2582864548706546e-05,64,15,0.4,24,\textbf{0.126194529235363}
24,0.0001,0.1,selu,False,rmsprop,elasticnet,1.1287370594011534e-05,2.297588361415186e-05,16,40,0.7000000000000001,29,\textbf{0.11437788903713227}
24,0.01,0.2,tanh,False,rmsprop,l1,1.644683652759161e-05,1.4807794753770008e-05,128,50,0.1,19,\textbf{0.11310599595308304}
8,0.0001,0.30000000000000004,tanh,True,rmsprop,l2,4.541375751862715e-05,4.591072291018543e-05,32,50,0.7000000000000001,11,\textbf{0.11405488103628159}
8,0.0001,0.4,tanh,True,adam,l1,1.7714245185874167e-05,1.3275412563390424e-05,16,15,0.2,25,\textbf{0.1145213395357132}
24,0.001,0.30000000000000004,tanh,True,adam,elasticnet,3.612665112884136e-05,3.2701219464056483e-05,32,40,0.9,43,\textbf{0.11304371654987336}
24,0.001,0.30000000000000004,tanh,True,adam,l2,7.502678647702605e-05,2.3892479052010674e-05,32,30,0.30000000000000004,45,\textbf{0.11305439025163651}
16,0.001,0.1,selu,True,rmsprop,l2,5.153927835169363e-05,1.2346562802942247e-05,128,30,0.30000000000000004,20,\textbf{0.11340638548135758}
24,0.0001,0.2,selu,True,adam,l1,5.330169981635701e-05,3.1945728236321364e-05,64,30,0.8,32,\textbf{0.11951830983161926}
16,0.001,0.2,selu,False,sgd,elasticnet,6.724060214851802e-05,7.167361793373976e-05,128,40,0.7000000000000001,49,\textbf{0.1277957797050476}
24,0.01,0.30000000000000004,relu,True,adam,elasticnet,2.4633534469440666e-05,1.1947733869039456e-05,16,30,0.0,02,\textbf{0.11304779201745987}
16,0.01,0.0,relu,True,adam,elasticnet,1.2732420983801633e-05,1.3329748297275247e-05,128,15,0.5,30,\textbf{0.11306600719690323}
16,0.001,0.30000000000000004,tanh,True,adam,elasticnet,3.059377148071835e-05,1.680133426162072e-05,128,15,0.4,47,\textbf{0.11400557607412339}
