learning_rate,num_layers,dense_size1,dropout_rate,optimizer,activation,use_batch_norm,regularization_type,l1_reg,l2_reg,batch_size,epochs,l1_ratio,Trial ID,Final Validation Loss
0.01,2,24,0.3,adam,tanh,1,l2,1.1945e-05,6.5135e-05,128,30,0.0,16,0.116
0.001,2,32,0.3,adam,tanh,1,l2,6.8602e-05,3.4011e-05,32,30,0.5,15,0.116
0.001,2,16,0.1,sgd,relu,0,l1,1.0775e-05,3.9801e-05,64,30,0.6,39,0.1194
0.01,3,32,0.1,sgd,tanh,0,elasticnet,3.2378e-05,2.5160e-05,32,30,0.9,42,0.1303
0.001,3,32,0.0,sgd,tanh,1,l1,7.7628e-05,1.8716e-05,16,40,0.0,14,0.1565
0.0001,2,16,0.3,sgd,selu,1,l2,4.3031e-05,1.9446e-05,64,40,0.2,17,0.1295
0.001,2,32,0.0,sgd,selu,1,l1,9.5237e-05,5.3130e-05,16,15,0.6,44,0.1639
0.0001,3,32,0.1,sgd,relu,0,elasticnet,2.0794e-05,1.4832e-05,16,30,0.6,35,0.1235
0.01,2,32,0.0,rmsprop,relu,1,l2,1.4766e-05,3.7175e-05,32,30,0.2,34,0.116
0.01,2,24,0.3,rmsprop,tanh,0,l2,1.2413e-05,1.0256e-05,128,30,0.5,22,0.1163
0.0001,3,32,0.2,adam,relu,0,l1,6.2064e-05,9.5406e-05,32,30,0.8,12,0.116
0.0001,3,16,0.4,rmsprop,tanh,0,l1,3.0909e-05,2.2250e-05,64,40,0.9,38,0.1218
0.001,3,16,0.2,adam,relu,1,l2,1.4697e-05,2.4844e-05,64,15,,01,0.1161
0.01,2,32,0.4,adam,tanh,0,l2,1.9520e-05,9.1946e-05,64,30,0.1,37,0.116
0.01,2,24,0.0,sgd,relu,1,l1,1.7030e-05,1.1850e-05,32,30,0.6,07,0.1307
0.01,3,24,0.0,sgd,relu,0,l1,6.9329e-05,5.8079e-05,64,30,0.7,21,0.1406
0.01,3,16,0.4,adam,relu,1,l1,3.8159e-05,1.4687e-05,128,50,0.3,28,0.116
0.0001,2,32,0.3,adam,relu,1,l1,2.7784e-05,1.4669e-05,128,40,0.5,31,0.1284
0.0001,3,32,0.4,adam,relu,0,elasticnet,1.9807e-05,8.7057e-05,64,40,0.3,46,0.1161
0.001,2,16,0.2,adam,relu,0,l1,7.9367e-05,9.4921e-05,16,15,0.1,33,0.116
0.0001,3,16,0.3,sgd,tanh,1,l2,7.2139e-05,1.0000e-05,16,15,,00,0.1222
0.01,2,32,0.0,rmsprop,tanh,0,elasticnet,5.9371e-05,6.2322e-05,32,30,0.2,08,0.116
0.001,2,24,0.2,sgd,selu,1,l1,3.0557e-05,1.7496e-05,16,30,0.2,48,0.1318
0.001,3,24,0.1,adam,selu,1,l2,1.9833e-05,2.0123e-05,16,40,0.8,26,0.116
0.0001,3,24,0.0,sgd,tanh,0,l2,5.2238e-05,9.6064e-05,64,50,0.8,05,0.1266
0.001,3,24,0.3,sgd,selu,0,l2,7.3254e-05,1.9032e-05,32,30,0.6,36,0.1215
0.01,2,16,0.3,sgd,relu,1,l1,3.5121e-05,8.2583e-05,128,30,0.4,04,0.1252
0.001,3,16,0.0,rmsprop,selu,1,elasticnet,5.1318e-05,3.1452e-05,64,40,0.2,10,0.1163
0.0001,3,16,0.0,adam,tanh,0,elasticnet,3.0384e-05,1.2725e-05,16,15,0.2,06,0.1161
0.01,2,24,0.2,sgd,selu,0,elasticnet,4.9581e-05,1.1398e-05,32,50,0.7,09,0.1275
0.001,3,16,0.4,sgd,tanh,0,l2,9.6639e-05,1.6004e-05,128,40,0.5,40,0.1208
0.001,3,24,0.4,adam,selu,1,l2,3.9625e-05,9.3022e-05,128,50,0.0,25,0.116
0.0001,2,16,0.0,rmsprop,selu,0,l2,3.7592e-05,2.3015e-05,128,50,0.7,18,0.1173
0.01,3,16,0.4,rmsprop,relu,0,l1,5.3348e-05,5.2216e-05,32,15,0.1,27,0.116
0.001,3,32,0.1,adam,selu,1,elasticnet,3.5992e-05,2.9225e-05,128,40,0.5,41,0.1161
0.001,3,16,0.3,sgd,tanh,0,l2,7.6231e-05,4.5235e-05,128,15,0.3,19,0.1207
0.0001,2,16,0.2,rmsprop,selu,0,l1,4.2574e-05,1.3439e-05,64,50,0.2,20,0.1208
0.01,2,16,0.2,sgd,tanh,0,elasticnet,1.2770e-05,2.1928e-05,128,50,0.8,45,0.1198
0.0001,3,24,0.0,sgd,selu,0,l2,5.2720e-05,3.7131e-05,128,40,0.1,13,0.1343
0.01,2,16,0.4,rmsprop,tanh,1,l1,2.0572e-05,1.7714e-05,16,15,0.1,23,0.116
0.01,3,24,0.0,sgd,tanh,0,l2,3.6590e-05,4.5163e-05,64,50,0.9,24,0.1212
0.001,3,32,0.3,rmsprop,tanh,0,elasticnet,3.8386e-05,3.8960e-05,64,50,0.0,03,0.1166
0.001,3,32,0.3,sgd,selu,1,l1,1.2984e-05,3.6565e-05,64,30,0.1,49,0.1383
0.01,2,32,0.2,sgd,relu,1,l1,3.8661e-05,1.5070e-05,16,40,0.5,30,0.1308
0.001,3,16,0.2,adam,tanh,0,l2,5.1594e-05,4.0107e-05,128,15,0.7,43,0.1161
0.0001,2,24,0.3,rmsprop,tanh,1,l1,3.4362e-05,8.8964e-05,64,50,0.7,29,0.1208
0.0001,3,24,0.3,sgd,selu,1,l2,2.5305e-05,1.3792e-05,16,40,0.1,11,0.13
0.001,2,32,0.3,rmsprop,tanh,1,elasticnet,3.1910e-05,2.9389e-05,16,30,0.3,47,0.116
0.0001,2,24,0.0,rmsprop,relu,1,l2,3.2116e-05,2.7804e-05,64,15,0.6,32,0.119
0.0001,2,32,0.1,rmsprop,tanh,0,l1,2.1544e-05,1.9537e-05,128,50,,02,0.1242
